game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
19,1,9,0,1,2019020092,0.5507572675289792,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
20,1,9,0,1,2019020092,0.5508078760349449,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
21,-1,8,0,1,2019020092,0.5519764043624906,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
22,-1,7,0,1,2019020092,0.5518804105611329,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
23,0,6,0,1,2019020092,0.551049586390024,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
24,1,5,0,1,2019020092,0.5501379504929127,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
25,1,5,0,1,2019020092,0.550152217925377,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
26,2,2,0,1,2019020092,0.5486465681704688,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
27,2,3,0,1,2019020092,0.5488478980367753,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
28,2,5,0,1,2019020092,0.5493219736596323,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
29,2,5,0,1,2019020092,0.5493050600817336,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
30,3,5,0,1,2019020092,0.5483523904028258,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
31,3,5,0,1,2019020092,0.5483042723570697,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
32,4,5,0,1,2019020092,0.5472575997503574,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
33,4,8,0,1,2019020092,0.5480789114066142,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
34,3,8,0,1,2019020092,0.5490875083516427,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
35,1,9,1,1,2019020092,0.8089482434874877,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
36,1,9,1,1,2019020092,0.8143783720113043,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
37,0,10,1,1,2019020092,0.8205765464396058,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
38,0,9,1,1,2019020092,0.8255699065421865,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
39,0,9,1,1,2019020092,0.8306442447038478,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
40,-1,8,1,1,2019020092,0.8360901650521851,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
41,-2,9,1,1,2019020092,0.841819619399603,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
42,2,9,0,1,2019020092,0.5506122326350212,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
43,-1,12,0,1,2019020092,0.5558189889400328,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
44,-2,12,0,1,2019020092,0.5573267509110419,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
45,-2,11,0,1,2019020092,0.5570899070946859,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
46,-2,8,0,1,2019020092,0.556001024098271,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
47,-2,8,0,1,2019020092,0.5561357399505626,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
48,1,8,0,1,2019020092,0.5517885677960853,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
49,0,9,0,1,2019020092,0.5538008099276103,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
50,-3,8,0,1,2019020092,0.5580937504683398,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
51,-3,8,0,1,2019020092,0.5582594006509333,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
52,-3,8,0,1,2019020092,0.5584250378694232,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
53,-4,7,0,1,2019020092,0.5597565935657141,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
54,-5,7,0,1,2019020092,0.5616195443011934,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
55,-5,7,0,1,2019020092,0.5618378916586375,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
56,-4,7,0,1,2019020092,0.5603190692522002,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
57,-4,7,0,1,2019020092,0.5605065267987875,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
58,-5,7,0,1,2019020092,0.5624927897094588,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
59,-4,8,0,1,2019020092,0.5614149616864775,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
60,-4,8,0,1,2019020092,0.5616113590868085,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
61,-4,8,0,1,2019020092,0.561807737184158,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
62,-4,7,0,1,2019020092,0.5614435545800943,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
63,-3,6,1,1,2019020092,0.921483112205364,2019-10-16 - Pittsburgh Penguins beat Colorado Avalanche
0,0,1,0,1,2017021245,0.5497955074231653,2018-04-05 - Pittsburgh Penguins beat Columbus Blue Jackets
1,2,0,0,1,2017021245,0.549733147119369,2018-04-05 - Pittsburgh Penguins beat Columbus Blue Jackets
2,2,2,0,1,2017021245,0.5497071461757744,2018-04-05 - Pittsburgh Penguins beat Columbus Blue Jackets
